,subject,spos_bins,repeats,recalled,adj_rec
74,MTK00040,3.0,1.0,0.19444444444444442,0.2832625619249823
75,MTK00040,4.0,1.0,0.16666666666666666,0.27217799009200283
76,MTK00040,5.0,1.0,0.16666666666666666,0.29551486199575366
77,MTK00040,6.0,1.0,0.27777777777777773,0.28550576281468
78,MTK00040,7.0,1.0,0.0,0.3601203113941967
79,MTK00040,8.0,1.0,0.0,0.42178116469517746
80,MTK00040,9.0,1.0,0.1111111111111111,0.6139217470427663
81,MTK00041,1.0,1.0,0.9047619047619048,0.38528586593873215
82,MTK00041,2.0,1.0,0.3333333333333333,0.31284866697488056
83,MTK00041,3.0,1.0,0.4444444444444444,0.2832625619249823
84,MTK00041,4.0,1.0,0.7777777777777777,0.27217799009200283
85,MTK00041,5.0,1.0,0.4666666666666666,0.29551486199575366
86,MTK00041,6.0,1.0,0.1111111111111111,0.28550576281468
87,MTK00041,7.0,1.0,0.5,0.3601203113941967
88,MTK00041,8.0,1.0,0.5,0.42178116469517746
89,MTK00041,9.0,1.0,0.8333333333333334,0.6139217470427661
90,MTK00043,1.0,1.0,0.25,0.38528586593873215
91,MTK00043,2.0,1.0,0.0,0.31284866697488056
92,MTK00043,3.0,1.0,0.25,0.2832625619249823
93,MTK00043,4.0,1.0,0.0,0.27217799009200283
94,MTK00043,5.0,1.0,0.4444444444444444,0.29551486199575366
95,MTK00043,6.0,1.0,0.5555555555555555,0.28550576281468
96,MTK00043,7.0,1.0,0.2,0.3601203113941967
97,MTK00043,8.0,1.0,0.27777777777777773,0.42178116469517746
98,MTK00043,9.0,1.0,0.6666666666666666,0.6139217470427661
99,MTK00044,1.0,1.0,0.7222222222222222,0.38528586593873215
100,MTK00044,2.0,1.0,0.0,0.31284866697488056
101,MTK00044,3.0,1.0,0.5555555555555555,0.2832625619249823
102,MTK00044,4.0,1.0,0.13333333333333333,0.27217799009200283
103,MTK00044,5.0,1.0,0.16666666666666666,0.29551486199575366
104,MTK00044,6.0,1.0,0.38888888888888884,0.28550576281468
105,MTK00044,7.0,1.0,0.27777777777777773,0.3601203113941967
106,MTK00044,8.0,1.0,0.75,0.42178116469517746
107,MTK00044,9.0,1.0,0.5555555555555555,0.6139217470427661
108,MTK00049,1.0,1.0,0.125,0.38528586593873215
109,MTK00049,2.0,1.0,0.0,0.31284866697488056
110,MTK00049,3.0,1.0,0.3055555555555555,0.2832625619249823
111,MTK00049,4.0,1.0,0.0,0.27217799009200283
112,MTK00049,5.0,1.0,0.5333333333333333,0.29551486199575366
113,MTK00049,6.0,1.0,0.3611111111111111,0.28550576281468
114,MTK00049,7.0,1.0,0.5,0.3601203113941967
115,MTK00049,8.0,1.0,0.3833333333333333,0.42178116469517746
116,MTK00049,9.0,1.0,0.3333333333333333,0.6139217470427661
117,MTK00050,1.0,1.0,0.3958333333333333,0.38528586593873215
118,MTK00050,2.0,1.0,0.0,0.31284866697488056
119,MTK00050,3.0,1.0,0.1111111111111111,0.2832625619249823
120,MTK00050,4.0,1.0,0.0,0.27217799009200283
121,MTK00050,5.0,1.0,0.08333333333333333,0.29551486199575366
122,MTK00050,6.0,1.0,0.0,0.28550576281468
123,MTK00050,7.0,1.0,0.3333333333333333,0.3601203113941967
124,MTK00050,8.0,1.0,0.5,0.42178116469517746
125,MTK00050,9.0,1.0,1.0,0.6139217470427661
126,MTK00051,1.0,1.0,0.6666666666666666,0.38528586593873215
127,MTK00051,2.0,1.0,0.0,0.31284866697488056
128,MTK00051,3.0,1.0,0.16666666666666666,0.2832625619249823
129,MTK00051,4.0,1.0,0.0,0.27217799009200283
130,MTK00051,5.0,1.0,0.5,0.29551486199575366
131,MTK00051,6.0,1.0,0.3333333333333333,0.28550576281468
132,MTK00051,7.0,1.0,0.16666666666666666,0.3601203113941967
133,MTK00051,8.0,1.0,0.2222222222222222,0.42178116469517746
134,MTK00051,9.0,1.0,0.611111111111111,0.6139217470427661
135,MTK00056,1.0,1.0,0.1125,0.38528586593873215
136,MTK00056,2.0,1.0,0.5,0.31284866697488056
137,MTK00056,3.0,1.0,0.5555555555555555,0.2832625619249823
138,MTK00056,4.0,1.0,0.5555555555555555,0.27217799009200283
139,MTK00056,5.0,1.0,0.05555555555555555,0.29551486199575366
140,MTK00056,6.0,1.0,0.0,0.28550576281468
141,MTK00056,7.0,1.0,0.08333333333333333,0.3601203113941967
142,MTK00056,8.0,1.0,0.0,0.42178116469517746
143,MTK00056,9.0,1.0,0.3333333333333333,0.6139217470427661
144,MTK00058,1.0,1.0,0.0,0.38528586593873215
145,MTK00058,2.0,1.0,0.16666666666666666,0.31284866697488056
146,MTK00058,3.0,1.0,0.1111111111111111,0.2832625619249823
147,MTK00058,4.0,1.0,0.16666666666666666,0.27217799009200283
148,MTK00058,5.0,1.0,0.2333333333333333,0.29551486199575366
149,MTK00058,6.0,1.0,0.375,0.28550576281468
150,MTK00058,7.0,1.0,0.5,0.3601203113941967
151,MTK00058,8.0,1.0,0.3333333333333333,0.42178116469517746
152,MTK00058,9.0,1.0,1.0,0.6139217470427661
153,MTK00059,1.0,1.0,0.75,0.38528586593873215
154,MTK00059,2.0,1.0,0.0,0.31284866697488056
155,MTK00059,3.0,1.0,0.3333333333333333,0.2832625619249823
156,MTK00059,4.0,1.0,0.1111111111111111,0.27217799009200283
157,MTK00059,5.0,1.0,0.27777777777777773,0.29551486199575366
158,MTK00059,6.0,1.0,0.3333333333333333,0.28550576281468
159,MTK00059,7.0,1.0,0.5833333333333334,0.3601203113941967
160,MTK00059,8.0,1.0,0.7222222222222222,0.42178116469517746
161,MTK00059,9.0,1.0,0.13333333333333333,0.6139217470427661
162,MTK00061,1.0,1.0,0.5,0.38528586593873215
163,MTK00061,2.0,1.0,0.3666666666666667,0.31284866697488056
164,MTK00061,3.0,1.0,0.38888888888888884,0.2832625619249823
165,MTK00061,4.0,1.0,0.0,0.27217799009200283
166,MTK00061,5.0,1.0,0.16666666666666666,0.29551486199575366
167,MTK00061,6.0,1.0,0.0,0.28550576281468
168,MTK00061,7.0,1.0,0.16666666666666666,0.3601203113941967
169,MTK00061,8.0,1.0,0.0,0.42178116469517746
170,MTK00061,9.0,1.0,0.3055555555555555,0.6139217470427661
