,index,lag,prob
485,27,1,0.2962962962962963
486,28,2,0.12195121951219512
487,29,3,0.0821917808219178
488,30,4,0.08620689655172414
489,31,5,0.0
490,32,6,0.02631578947368421
491,33,7,0.0
492,34,8,0.0
493,18,-8,0.0
494,19,-7,0.0
495,20,-6,0.0
496,21,-5,0.04
497,22,-4,0.0
498,23,-3,0.06976744186046512
499,24,-2,0.11363636363636363
500,25,-1,0.28888888888888886
501,26,0,
502,27,1,0.24444444444444444
503,28,2,0.225
504,29,3,0.08333333333333333
505,30,4,0.08571428571428572
506,31,5,0.0
507,32,6,0.0
508,33,7,0.0
509,34,8,0.0
510,18,-8,0.0
511,19,-7,0.0
512,20,-6,0.0
513,21,-5,0.0
514,22,-4,0.058823529411764705
515,23,-3,0.07692307692307693
516,24,-2,0.1276595744680851
517,25,-1,0.16666666666666666
518,26,0,
519,27,1,0.30612244897959184
520,28,2,0.21951219512195122
521,29,3,0.15384615384615385
522,30,4,0.125
523,31,5,0.045454545454545456
524,32,6,0.0
525,33,7,0.0
526,34,8,0.0
527,18,-8,0.0
528,19,-7,0.0
529,20,-6,0.041666666666666664
530,21,-5,0.0
531,22,-4,0.044444444444444446
532,23,-3,0.09523809523809523
533,24,-2,0.05555555555555555
534,25,-1,0.12121212121212122
535,26,0,
536,27,1,0.48484848484848486
537,28,2,0.12962962962962962
538,29,3,0.058823529411764705
539,30,4,0.15625
540,31,5,0.07407407407407407
541,32,6,0.04
542,33,7,0.0
543,34,8,0.0
544,18,-8,0.07142857142857142
545,19,-7,0.08333333333333333
546,20,-6,0.0
547,21,-5,0.03125
548,22,-4,0.04878048780487805
549,23,-3,0.125
550,24,-2,0.06779661016949153
551,25,-1,0.2698412698412698
552,26,0,
553,27,1,0.30158730158730157
554,28,2,0.14035087719298245
555,29,3,0.05555555555555555
556,30,4,0.025
557,31,5,0.06451612903225806
558,32,6,0.0
559,33,7,0.0
560,34,8,0.125
561,18,-8,0.0
562,19,-7,0.0
563,20,-6,0.0
564,21,-5,0.021739130434782608
565,22,-4,0.06976744186046512
566,23,-3,0.05555555555555555
567,24,-2,0.1267605633802817
568,25,-1,0.1527777777777778
569,26,0,
570,27,1,0.5584415584415584
571,28,2,0.14925373134328357
572,29,3,0.03508771929824561
573,30,4,0.0
574,31,5,0.0
575,32,6,0.0
576,33,7,0.0
577,34,8,0.0
578,18,-8,0.0
579,19,-7,0.0
580,20,-6,0.09375
581,21,-5,0.022727272727272728
582,22,-4,0.0
583,23,-3,0.0625
584,24,-2,0.0625
585,25,-1,0.25842696629213485
586,26,0,
587,27,1,0.42045454545454547
588,28,2,0.1839080459770115
589,29,3,0.0821917808219178
590,30,4,0.08771929824561403
591,31,5,0.02
592,32,6,0.027777777777777776
593,33,7,0.07692307692307693
594,34,8,0.05555555555555555
595,18,-8,0.0
596,19,-7,0.04
597,20,-6,0.0
598,21,-5,0.023255813953488372
599,22,-4,0.07692307692307693
600,23,-3,0.0967741935483871
601,24,-2,0.09333333333333334
602,25,-1,0.19767441860465115
603,26,0,
604,27,1,0.38095238095238093
605,28,2,0.13580246913580246
606,29,3,0.11764705882352941
607,30,4,0.015151515151515152
608,31,5,0.0
609,32,6,0.041666666666666664
610,33,7,0.0
611,34,8,0.1111111111111111
612,18,-8,0.0
613,19,-7,0.058823529411764705
614,20,-6,0.038461538461538464
615,21,-5,0.06060606060606061
616,22,-4,0.05555555555555555
617,23,-3,0.08163265306122448
618,24,-2,0.10714285714285714
619,25,-1,0.359375
620,26,0,
621,27,1,0.30158730158730157
622,28,2,0.1206896551724138
623,29,3,0.12727272727272726
624,30,4,0.04878048780487805
625,31,5,0.0
626,32,6,0.041666666666666664
627,33,7,0.0625
628,34,8,0.0
629,18,-8,0.0
630,19,-7,0.058823529411764705
631,20,-6,0.0
632,21,-5,0.0
633,22,-4,0.08
634,23,-3,0.03333333333333333
635,24,-2,0.1388888888888889
636,25,-1,0.1282051282051282
637,26,0,
638,27,1,0.55
639,28,2,0.13513513513513514
640,29,3,0.034482758620689655
641,30,4,0.0
642,31,5,0.0
643,32,6,0.0
644,33,7,0.0
645,34,8,0.0
646,18,-8,0.0
647,19,-7,0.0
648,20,-6,0.0
649,21,-5,0.04
650,22,-4,0.05555555555555555
651,23,-3,0.05660377358490566
652,24,-2,0.10526315789473684
653,25,-1,0.3333333333333333
654,26,0,
655,27,1,0.36666666666666664
656,28,2,0.14285714285714285
657,29,3,0.041666666666666664
658,30,4,0.047619047619047616
659,31,5,0.0
660,32,6,0.0
661,33,7,0.0
662,34,8,0.0
663,18,-8,0.0
664,19,-7,0.0
665,20,-6,0.0
666,21,-5,0.0
667,22,-4,0.029411764705882353
668,23,-3,0.06666666666666667
669,24,-2,0.16666666666666666
670,25,-1,0.21311475409836064
671,26,0,
672,27,1,0.21666666666666667
673,28,2,0.15789473684210525
674,29,3,0.08771929824561403
675,30,4,0.11904761904761904
676,31,5,0.03225806451612903
677,32,6,0.0
678,33,7,0.0
679,34,8,0.2222222222222222
680,18,-8,0.125
681,19,-7,0.04
682,20,-6,0.09090909090909091
683,21,-5,0.045454545454545456
684,22,-4,0.05
685,23,-3,0.05128205128205128
686,24,-2,0.13829787234042554
687,25,-1,0.3333333333333333
688,26,0,
689,27,1,0.28
690,28,2,0.09
691,29,3,0.0136986301369863
692,30,4,0.014705882352941176
693,31,5,0.07317073170731707
694,32,6,0.02857142857142857
695,33,7,0.045454545454545456
696,34,8,0.10526315789473684
697,18,-8,0.0
698,19,-7,0.038461538461538464
699,20,-6,0.038461538461538464
700,21,-5,0.045454545454545456
701,22,-4,0.061224489795918366
702,23,-3,0.0945945945945946
703,24,-2,0.16455696202531644
704,25,-1,0.19540229885057472
705,26,0,
706,27,1,0.4230769230769231
707,28,2,0.0547945205479452
708,29,3,0.07936507936507936
709,30,4,0.02127659574468085
710,31,5,0.030303030303030304
711,32,6,0.08695652173913043
712,33,7,0.0
713,34,8,0.0
714,18,-8,0.0
715,19,-7,0.0
716,20,-6,0.0
717,21,-5,0.0
718,22,-4,0.0425531914893617
719,23,-3,0.0
720,24,-2,0.07462686567164178
721,25,-1,0.2777777777777778
722,26,0,
723,27,1,0.4927536231884058
724,28,2,0.18032786885245902
725,29,3,0.03508771929824561
726,30,4,0.07894736842105263
727,31,5,0.0
728,32,6,0.045454545454545456
729,33,7,0.08333333333333333
730,34,8,0.0
731,18,-8,0.0
732,19,-7,0.0
733,20,-6,0.0
734,21,-5,0.045454545454545456
735,22,-4,0.0
736,23,-3,0.02702702702702703
737,24,-2,0.075
738,25,-1,0.2608695652173913
739,26,0,
740,27,1,0.4318181818181818
741,28,2,0.16279069767441862
742,29,3,0.11764705882352941
743,30,4,0.03333333333333333
744,31,5,0.0
745,32,6,0.0
746,33,7,0.0
747,34,8,0.0
748,18,-8,0.0
749,19,-7,0.0
750,20,-6,0.0
751,21,-5,0.045454545454545456
752,22,-4,0.03125
753,23,-3,0.023809523809523808
754,24,-2,0.0851063829787234
755,25,-1,0.16
756,26,0,
757,27,1,0.5510204081632653
758,28,2,0.17073170731707318
759,29,3,0.08108108108108109
760,30,4,0.0
761,31,5,0.0
762,32,6,0.0
763,33,7,0.0
764,34,8,0.0
765,18,-8,0.0
766,19,-7,0.0
767,20,-6,0.058823529411764705
768,21,-5,0.03571428571428571
769,22,-4,0.0
770,23,-3,0.06
771,24,-2,0.08771929824561403
772,25,-1,0.2
773,26,0,
774,27,1,0.373134328358209
775,28,2,0.208955223880597
776,29,3,0.08333333333333333
777,30,4,0.09615384615384616
778,31,5,0.029411764705882353
