,subject,spos_bins,repeats,session,recalled,adj_rec
195,LTP443,7.0,1.0,1,0.8541666666666666,0.855356355505165
196,LTP443,8.0,1.0,1,1.0,0.9597543461829177
197,LTP443,9.0,1.0,1,1.0,0.9810600907029479
198,LTP443,1.0,1.0,2,1.0,1.0158515998992188
199,LTP443,2.0,1.0,2,0.8333333333333333,0.8425680272108843
200,LTP443,3.0,1.0,2,0.6979166666666666,0.6669916855631141
201,LTP443,4.0,1.0,2,0.7777777777777777,0.7987925170068026
202,LTP443,5.0,1.0,2,0.7222222222222222,0.6041124968505921
203,LTP443,6.0,1.0,2,1.0,0.9126284958427815
204,LTP443,7.0,1.0,2,1.0,1.0011896888384983
205,LTP443,8.0,1.0,2,0.9166666666666666,0.8764210128495843
206,LTP443,9.0,1.0,2,1.0,0.9810600907029479
207,LTP443,1.0,1.0,3,0.8333333333333334,0.8491849332325523
208,LTP443,2.0,1.0,3,0.38888888888888884,0.3981235827664399
209,LTP443,3.0,1.0,3,0.6666666666666666,0.6357416855631141
210,LTP443,4.0,1.0,3,0.5555555555555555,0.5765702947845804
211,LTP443,5.0,1.0,3,0.9166666666666667,0.7985569412950366
212,LTP443,6.0,1.0,3,0.75,0.6626284958427815
213,LTP443,7.0,1.0,3,0.9333333333333332,0.9345230221718316
214,LTP443,8.0,1.0,3,0.9166666666666666,0.8764210128495843
215,LTP443,9.0,1.0,3,1.0,0.9810600907029479
216,LTP443,1.0,1.0,4,0.8055555555555555,0.8214071554547744
217,LTP443,2.0,1.0,4,0.6666666666666666,0.6759013605442177
218,LTP443,3.0,1.0,4,0.75,0.7190750188964474
219,LTP443,4.0,1.0,4,0.5166666666666667,0.5376814058956917
220,LTP443,5.0,1.0,4,0.875,0.7568902746283699
221,LTP443,6.0,1.0,4,0.75,0.6626284958427815
222,LTP443,7.0,1.0,4,0.7083333333333334,0.7095230221718317
223,LTP443,8.0,1.0,4,0.9166666666666666,0.8764210128495843
224,LTP443,9.0,1.0,4,0.9,0.8810600907029479
225,LTP443,1.0,1.0,5,0.4166666666666667,0.4325182665658856
226,LTP443,2.0,1.0,5,0.16666666666666666,0.1759013605442177
227,LTP443,3.0,1.0,5,0.25,0.21907501889644743
228,LTP443,4.0,1.0,5,0.16666666666666666,0.18768140589569163
229,LTP443,5.0,1.0,5,0.6666666666666666,0.5485569412950365
230,LTP443,6.0,1.0,5,0.16666666666666666,0.07929516250944815
231,LTP443,7.0,1.0,5,0.25,0.25118968883849835
232,LTP443,8.0,1.0,5,0.38888888888888884,0.3486432350718065
233,LTP443,9.0,1.0,5,0.5,0.48106009070294786
234,LTP443,1.0,1.0,6,0.3333333333333333,0.34918493323255223
235,LTP443,2.0,1.0,6,0.47222222222222215,0.4814569160997732
236,LTP443,3.0,1.0,6,0.8125,0.7815750188964474
237,LTP443,4.0,1.0,6,1.0,1.021014739229025
238,LTP443,5.0,1.0,6,0.8888888888888888,0.7707791635172587
239,LTP443,6.0,1.0,6,1.0,0.9126284958427815
240,LTP443,7.0,1.0,6,0.375,0.37618968883849835
241,LTP443,8.0,1.0,6,1.0,0.9597543461829177
242,LTP443,9.0,1.0,6,1.0,0.9810600907029479
243,LTP443,1.0,1.0,7,0.8333333333333333,0.8491849332325522
244,LTP443,2.0,1.0,7,0.85,0.859234693877551
245,LTP443,3.0,1.0,7,0.825,0.7940750188964474
246,LTP443,4.0,1.0,7,0.8,0.821014739229025
247,LTP443,5.0,1.0,7,0.9166666666666666,0.7985569412950365
248,LTP443,6.0,1.0,7,1.0,0.9126284958427815
249,LTP443,7.0,1.0,7,0.625,0.6261896888384983
250,LTP443,8.0,1.0,7,0.8888888888888888,0.8486432350718065
251,LTP443,9.0,1.0,7,1.0,0.9810600907029479
252,LTP443,1.0,1.0,8,1.0,1.0158515998992188
253,LTP443,2.0,1.0,8,1.0,1.0092346938775512
254,LTP443,3.0,1.0,8,0.7916666666666666,0.7607416855631141
255,LTP443,4.0,1.0,8,0.6333333333333333,0.6543480725623583
256,LTP443,5.0,1.0,8,0.9,0.7818902746283699
257,LTP443,6.0,1.0,8,1.0,0.9126284958427815
258,LTP443,7.0,1.0,8,1.0,1.0011896888384983
259,LTP443,8.0,1.0,8,0.9333333333333332,0.8930876795162509
260,LTP443,9.0,1.0,8,1.0,0.9810600907029479
261,LTP443,1.0,1.0,9,1.0,1.0158515998992188
262,LTP443,2.0,1.0,9,0.8888888888888888,0.8981235827664399
263,LTP443,3.0,1.0,9,0.875,0.8440750188964474
264,LTP443,4.0,1.0,9,1.0,1.021014739229025
265,LTP443,5.0,1.0,9,1.0,0.8818902746283699
266,LTP443,6.0,1.0,9,1.0,0.9126284958427815
267,LTP443,7.0,1.0,9,0.9166666666666666,0.917856355505165
268,LTP443,8.0,1.0,9,1.0,0.9597543461829177
269,LTP443,9.0,1.0,9,1.0,0.9810600907029479
270,LTP444,1.0,1.0,0,0.9444444444444445,0.7825182665658856
271,LTP444,2.0,1.0,0,0.8,0.5959013605442177
272,LTP444,3.0,1.0,0,1.0,0.782021447467876
273,LTP444,4.0,1.0,0,0.8888888888888888,0.7090702947845805
274,LTP444,5.0,1.0,0,0.9166666666666666,0.6982791635172587
275,LTP444,6.0,1.0,0,0.9,0.7351284958427815
276,LTP444,7.0,1.0,0,0.4583333333333333,0.3321619110607206
277,LTP444,8.0,1.0,0,1.0,0.8641987906273622
278,LTP444,9.0,1.0,0,1.0,0.9948696145124717
279,LTP444,1.0,1.0,1,1.0,0.8380738221214411
280,LTP444,2.0,1.0,1,0.8333333333333333,0.6292346938775509
281,LTP444,3.0,1.0,1,1.0,0.782021447467876
282,LTP444,4.0,1.0,1,0.8333333333333334,0.653514739229025
283,LTP444,5.0,1.0,1,1.0,0.7816124968505921
284,LTP444,6.0,1.0,1,0.75,0.5851284958427815
285,LTP444,7.0,1.0,1,0.9166666666666666,0.7904952443940539
286,LTP444,8.0,1.0,1,0.9166666666666666,0.7808654572940288
287,LTP444,9.0,1.0,1,1.0,0.9948696145124717
288,LTP444,1.0,1.0,2,1.0,0.8380738221214411
289,LTP444,2.0,1.0,2,0.9333333333333332,0.7292346938775509
290,LTP444,3.0,1.0,2,1.0,0.782021447467876
291,LTP444,4.0,1.0,2,1.0,0.8201814058956917
292,LTP444,5.0,1.0,2,1.0,0.7816124968505921
293,LTP444,6.0,1.0,2,0.9166666666666667,0.7517951625094482
294,LTP444,7.0,1.0,2,1.0,0.8738285777273873
295,LTP444,8.0,1.0,2,1.0,0.8641987906273622
296,LTP444,9.0,1.0,2,1.0,0.9948696145124717
297,LTP444,1.0,1.0,3,1.0,0.8380738221214411
298,LTP444,2.0,1.0,3,1.0,0.7959013605442177
299,LTP444,3.0,1.0,3,0.7916666666666666,0.5736881141345427
300,LTP444,4.0,1.0,3,0.7777777777777777,0.5979591836734693
301,LTP444,5.0,1.0,3,1.0,0.7816124968505921
302,LTP444,6.0,1.0,3,0.75,0.5851284958427815
303,LTP444,7.0,1.0,3,1.0,0.8738285777273873
304,LTP444,8.0,1.0,3,1.0,0.8641987906273622
305,LTP444,9.0,1.0,3,1.0,0.9948696145124717
306,LTP444,1.0,1.0,4,1.0,0.8380738221214411
307,LTP444,2.0,1.0,4,0.8333333333333334,0.629234693877551
308,LTP444,3.0,1.0,4,0.9583333333333334,0.7403547808012094
309,LTP444,4.0,1.0,4,0.9166666666666666,0.7368480725623583
310,LTP444,5.0,1.0,4,0.9166666666666666,0.6982791635172587
311,LTP444,6.0,1.0,4,1.0,0.8351284958427815
312,LTP444,7.0,1.0,4,0.9166666666666666,0.7904952443940539
313,LTP444,8.0,1.0,4,1.0,0.8641987906273622
314,LTP444,9.0,1.0,4,0.8333333333333333,0.828202947845805
315,LTP444,1.0,1.0,5,1.0,0.8380738221214411
316,LTP444,2.0,1.0,5,1.0,0.7959013605442177
317,LTP444,3.0,1.0,5,0.9333333333333332,0.7153547808012093
318,LTP444,4.0,1.0,5,1.0,0.8201814058956917
319,LTP444,5.0,1.0,5,0.8333333333333334,0.6149458301839255
320,LTP444,6.0,1.0,5,1.0,0.8351284958427815
321,LTP444,7.0,1.0,5,0.95,0.8238285777273873
322,LTP444,8.0,1.0,5,1.0,0.8641987906273622
323,LTP444,9.0,1.0,5,1.0,0.9948696145124717
324,LTP444,1.0,1.0,6,1.0,0.8380738221214411
325,LTP444,2.0,1.0,6,1.0,0.7959013605442177
326,LTP444,3.0,1.0,6,0.9375,0.719521447467876
327,LTP444,4.0,1.0,6,0.8888888888888888,0.7090702947845805
328,LTP444,5.0,1.0,6,1.0,0.7816124968505921
329,LTP444,6.0,1.0,6,1.0,0.8351284958427815
330,LTP444,7.0,1.0,6,1.0,0.8738285777273873
331,LTP444,8.0,1.0,6,0.9166666666666666,0.7808654572940288
332,LTP444,9.0,1.0,6,1.0,0.9948696145124717
333,LTP444,1.0,1.0,7,1.0,0.8380738221214411
334,LTP444,2.0,1.0,7,1.0,0.7959013605442177
335,LTP444,3.0,1.0,7,0.8125,0.594521447467876
336,LTP444,4.0,1.0,7,1.0,0.8201814058956917
337,LTP444,5.0,1.0,7,1.0,0.7816124968505921
338,LTP444,6.0,1.0,7,0.8333333333333333,0.6684618291761147
339,LTP444,7.0,1.0,7,0.9166666666666666,0.7904952443940539
340,LTP444,8.0,1.0,7,1.0,0.8641987906273622
341,LTP444,9.0,1.0,7,0.9285714285714286,0.9234410430839003
342,LTP444,1.0,1.0,8,1.0,0.8380738221214411
343,LTP444,2.0,1.0,8,1.0,0.7959013605442177
344,LTP444,3.0,1.0,8,0.8392857142857143,0.6213071617535904
345,LTP444,4.0,1.0,8,0.875,0.6951814058956917
346,LTP444,5.0,1.0,8,1.0,0.7816124968505921
347,LTP444,6.0,1.0,8,1.0,0.8351284958427815
348,LTP444,7.0,1.0,8,0.7777777777777777,0.651606355505165
349,LTP444,8.0,1.0,8,1.0,0.8641987906273622
350,LTP444,9.0,1.0,8,0.5,0.4948696145124717
351,LTP444,1.0,1.0,9,0.8888888888888888,0.7269627110103299
352,LTP444,2.0,1.0,9,1.0,0.7959013605442177
353,LTP444,3.0,1.0,9,1.0,0.782021447467876
354,LTP444,4.0,1.0,9,1.0,0.8201814058956917
355,LTP444,5.0,1.0,9,1.0,0.7816124968505921
356,LTP444,6.0,1.0,9,1.0,0.8351284958427815
357,LTP444,7.0,1.0,9,1.0,0.8738285777273873
358,LTP444,8.0,1.0,9,1.0,0.8641987906273622
359,LTP444,9.0,1.0,9,1.0,0.9948696145124717
360,LTP445,1.0,1.0,0,0.3055555555555555,0.46646888384983615
361,LTP445,2.0,1.0,0,0.4166666666666667,0.6605927185689091
362,LTP445,3.0,1.0,0,0.4583333333333333,0.6112895250692869
363,LTP445,4.0,1.0,0,1.0,1.0000535399344925
364,LTP445,5.0,1.0,0,0.611111111111111,0.7853162005542957
365,LTP445,6.0,1.0,0,0.5,0.6818745275888133
366,LTP445,7.0,1.0,0,0.55,0.6375014172335601
367,LTP445,8.0,1.0,0,0.8666666666666667,1.0700629881582262
368,LTP445,9.0,1.0,0,0.8333333333333333,0.9447373393801966
369,LTP445,1.0,1.0,1,0.8333333333333334,0.994246661627614
370,LTP445,2.0,1.0,1,0.5,0.7439260519022425
371,LTP445,3.0,1.0,1,0.6666666666666666,0.8196228584026203
372,LTP445,4.0,1.0,1,0.5833333333333333,0.5833868732678257
373,LTP445,5.0,1.0,1,0.7555555555555555,0.9297606449987402
374,LTP445,6.0,1.0,1,0.9,1.0818745275888133
375,LTP445,7.0,1.0,1,0.6944444444444443,0.7819458616780044
376,LTP445,8.0,1.0,1,0.7777777777777777,0.9811740992693372
377,LTP445,9.0,1.0,1,0.8333333333333333,0.9447373393801966
378,LTP445,1.0,1.0,2,0.7999999999999999,0.9609133282942806
379,LTP445,2.0,1.0,2,0.13333333333333333,0.3772593852355758
380,LTP445,3.0,1.0,2,0.6875,0.8404561917359537
381,LTP445,4.0,1.0,2,0.6825396825396824,0.6825932224741749
382,LTP445,5.0,1.0,2,0.25,0.4242050894431847
383,LTP445,6.0,1.0,2,0.0,0.18187452758881328
384,LTP445,7.0,1.0,2,0.25,0.3375014172335601
385,LTP445,8.0,1.0,2,0.3888888888888889,0.5922852103804483
386,LTP445,9.0,1.0,2,0.3333333333333333,0.4447373393801966
387,LTP445,1.0,1.0,3,1.0,1.1609133282942805
388,LTP445,2.0,1.0,3,0.16666666666666666,0.4105927185689091
389,LTP445,3.0,1.0,3,0.47916666666666663,0.6321228584026203
390,LTP445,4.0,1.0,3,0.7833333333333333,0.7833868732678257
391,LTP445,5.0,1.0,3,0.3333333333333333,0.5075384227765181
392,LTP445,6.0,1.0,3,0.21428571428571427,0.3961602418745276
393,LTP445,7.0,1.0,3,0.5833333333333334,0.6708347505668935
394,LTP445,8.0,1.0,3,0.5,0.7033963214915595
395,LTP445,9.0,1.0,3,0.8333333333333333,0.9447373393801966
396,LTP445,1.0,1.0,4,0.3055555555555555,0.46646888384983615
397,LTP445,2.0,1.0,4,0.1111111111111111,0.3550371630133536
398,LTP445,3.0,1.0,4,0.5208333333333333,0.6737895250692869
399,LTP445,4.0,1.0,4,0.7111111111111111,0.7111646510456036
400,LTP445,5.0,1.0,4,0.5833333333333334,0.7575384227765181
401,LTP445,6.0,1.0,4,0.3333333333333333,0.5152078609221467
402,LTP445,7.0,1.0,4,0.6666666666666666,0.7541680839002267
403,LTP445,8.0,1.0,4,0.3,0.5033963214915596
404,LTP445,9.0,1.0,4,0.9,1.0114040060468632
405,LTP445,1.0,1.0,5,0.4666666666666667,0.6275799949609473
406,LTP445,2.0,1.0,5,0.6666666666666666,0.9105927185689091
407,LTP445,3.0,1.0,5,0.5555555555555555,0.7085117472915091
408,LTP445,4.0,1.0,5,0.7777777777777777,0.7778313177122701
409,LTP445,5.0,1.0,5,0.7999999999999999,0.9742050894431846
410,LTP445,6.0,1.0,5,0.16666666666666666,0.3485411942554799
411,LTP445,7.0,1.0,5,0.9375,1.0250014172335602
412,LTP445,8.0,1.0,5,0.875,1.0783963214915595
413,LTP445,9.0,1.0,5,0.75,0.8614040060468633
414,LTP445,1.0,1.0,6,0.5333333333333333,0.694246661627614
415,LTP445,2.0,1.0,6,0.8888888888888888,1.1328149407911314
416,LTP445,3.0,1.0,6,0.16666666666666666,0.3196228584026203
417,LTP445,4.0,1.0,6,0.5555555555555555,0.5556090954900479
418,LTP445,5.0,1.0,6,0.5,0.6742050894431847
419,LTP445,6.0,1.0,6,1.0,1.1818745275888132
420,LTP445,7.0,1.0,6,0.7291666666666666,0.8166680839002267
421,LTP445,8.0,1.0,6,0.5,0.7033963214915595
422,LTP445,9.0,1.0,6,0.9285714285714286,1.039975434618292
423,LTP445,1.0,1.0,7,0.7,0.8609133282942806
424,LTP445,2.0,1.0,7,0.7777777777777777,1.0217038296800203
425,LTP445,3.0,1.0,7,0.75,0.9029561917359537
426,LTP445,4.0,1.0,7,0.55,0.5500535399344925
427,LTP445,5.0,1.0,7,0.6666666666666666,0.8408717561098513
428,LTP445,6.0,1.0,7,1.0,1.1818745275888132
429,LTP445,7.0,1.0,7,0.8333333333333334,0.9208347505668935
430,LTP445,8.0,1.0,7,0.5888888888888889,0.7922852103804484
431,LTP445,9.0,1.0,7,0.875,0.9864040060468633
432,LTP445,1.0,,8,,
433,LTP445,2.0,,8,,
434,LTP445,3.0,,8,,
435,LTP445,4.0,,8,,
436,LTP445,5.0,,8,,
437,LTP445,6.0,,8,,
438,LTP445,7.0,,8,,
439,LTP445,8.0,,8,,
440,LTP445,9.0,,8,,
441,LTP445,1.0,1.0,9,1.0,1.1609133282942805
442,LTP445,2.0,1.0,9,0.7666666666666666,1.0105927185689092
443,LTP445,3.0,1.0,9,0.7222222222222222,0.8751784139581759
444,LTP445,4.0,1.0,9,1.0,1.0000535399344925
445,LTP445,5.0,1.0,9,0.6666666666666666,0.8408717561098513
446,LTP445,6.0,1.0,9,1.0,1.1818745275888132
447,LTP445,7.0,1.0,9,0.875,0.9625014172335601
448,LTP445,8.0,1.0,9,1.0,1.2033963214915595
449,LTP445,9.0,1.0,9,1.0,1.1114040060468633
450,LTP446,1.0,1.0,0,0.8333333333333334,0.7980738221214412
451,LTP446,2.0,1.0,0,0.8055555555555555,0.7762188208616779
452,LTP446,3.0,1.0,0,0.5625,0.4592833522297808
453,LTP446,4.0,1.0,0,0.5,0.4149036281179139
454,LTP446,5.0,1.0,0,0.9444444444444445,0.8563347190728143
455,LTP446,6.0,1.0,0,0.8333333333333333,0.8017951625094482
456,LTP446,7.0,1.0,0,0.9,0.8563881015369111
457,LTP446,8.0,1.0,0,1.0,0.9497543461829175
458,LTP446,9.0,1.0,0,1.0,0.9435600907029479
459,LTP446,1.0,1.0,1,1.0,0.9647404887881078
460,LTP446,2.0,1.0,1,0.8333333333333334,0.8039965986394558
461,LTP446,3.0,1.0,1,0.9166666666666666,0.8134500188964474
462,LTP446,4.0,1.0,1,0.7833333333333333,0.6982369614512473
463,LTP446,5.0,1.0,1,1.0,0.9118902746283698
464,LTP446,6.0,1.0,1,0.8333333333333333,0.8017951625094482
465,LTP446,7.0,1.0,1,0.8888888888888888,0.8452769904258
