,subject,level_1,prob,sem_bin_mean,sem_bin
2376,MTK00449,6,0.18461538461538463,0.13856669639547667,6
2377,MTK00449,7,0.21333333333333335,0.16433889232575893,7
2378,MTK00449,8,0.16666666666666666,0.2024842775785006,8
2379,MTK00449,9,0.24242424242424243,0.34564325772225857,9
2380,MTK00450,0,0.14285714285714285,-0.008957711470429786,0
2381,MTK00450,1,0.16363636363636364,0.03072102347181903,1
2382,MTK00450,2,0.13636363636363635,0.057038994712962046,2
2383,MTK00450,3,0.2,0.07765689830888402,3
2384,MTK00450,4,0.17142857142857143,0.09533222826818626,4
2385,MTK00450,5,0.13114754098360656,0.11555804032832384,5
2386,MTK00450,6,0.16129032258064516,0.13292987793684005,6
2387,MTK00450,7,0.16923076923076924,0.16523417288606818,7
2388,MTK00450,8,0.27586206896551724,0.2071087108924985,8
2389,MTK00450,9,0.23076923076923078,0.34244701142112416,9
2390,MTK00451,0,0.14285714285714285,-0.005105483086986674,0
2391,MTK00451,1,0.13846153846153847,0.03357029789023929,1
2392,MTK00451,2,0.0967741935483871,0.05958333611488342,2
2393,MTK00451,3,0.09523809523809523,0.07710160066684087,3
2394,MTK00451,4,0.19696969696969696,0.09764694709044236,4
2395,MTK00451,5,0.21739130434782608,0.11338810274998347,5
2396,MTK00451,6,0.18181818181818182,0.13969702770312628,6
2397,MTK00451,7,0.17647058823529413,0.16841636722286543,7
2398,MTK00451,8,0.18032786885245902,0.20678236403248526,8
2399,MTK00451,9,0.32786885245901637,0.3180087171494961,9
2400,MTK00452,0,0.15517241379310345,-0.002391895874299937,0
2401,MTK00452,1,0.21311475409836064,0.03351619037298056,1
2402,MTK00452,2,0.12857142857142856,0.060009609080023237,2
2403,MTK00452,3,0.06779661016949153,0.08085272833704948,3
2404,MTK00452,4,0.17647058823529413,0.09668290552993615,4
2405,MTK00452,5,0.16071428571428573,0.11520702640215556,5
2406,MTK00452,6,0.24193548387096775,0.140178315838178,6
2407,MTK00452,7,0.18181818181818182,0.16620199382305145,7
2408,MTK00452,8,0.14754098360655737,0.20490321848127577,8
2409,MTK00452,9,0.25925925925925924,0.32853992921965464,9
2410,MTK00453,0,0.15217391304347827,-0.0014570654769028937,0
2411,MTK00453,1,0.1864406779661017,0.031631180508570236,1
2412,MTK00453,2,0.10344827586206896,0.05567263811826706,2
2413,MTK00453,3,0.19672131147540983,0.07597495801746845,3
2414,MTK00453,4,0.14545454545454545,0.0930120712146163,4
2415,MTK00453,5,0.2222222222222222,0.11623023290719305,5
2416,MTK00453,6,0.19230769230769232,0.13677055835723878,6
2417,MTK00453,7,0.125,0.1637993361800909,7
2418,MTK00453,8,0.1702127659574468,0.20961656607687473,8
2419,MTK00453,9,0.4,0.3305988013744354,9
2420,MTK00454,0,0.25333333333333335,0.0009153991034652695,0
2421,MTK00454,1,0.12244897959183673,0.035253771425535284,1
2422,MTK00454,2,0.22340425531914893,0.05518456619410288,2
2423,MTK00454,3,0.20224719101123595,0.07642777015765508,3
