,subject,level_1,prob,sem_bin_mean,sem_bin
36,R1516E,6,0.05263157894736842,0.12656138837337494,6
37,R1516E,7,0.20833333333333334,0.16059044301509856,7
38,R1516E,8,0.16,0.2102593593299389,8
39,R1516E,9,0.3125,0.3978892505168915,9
40,R1528E,0,0.19753086419753085,-0.0033125499030575156,0
41,R1528E,1,0.075,0.03374038636684418,1
42,R1528E,2,0.16483516483516483,0.05885686427354812,2
43,R1528E,3,0.1282051282051282,0.07688654959201813,3
44,R1528E,4,0.14130434782608695,0.09449814260005951,4
45,R1528E,5,0.21428571428571427,0.11470882097880046,5
46,R1528E,6,0.12048192771084337,0.1389547809958458,6
47,R1528E,7,0.1744186046511628,0.16456658740838367,7
48,R1528E,8,0.21348314606741572,0.20728909028203865,8
49,R1528E,9,0.225,0.3178795915510919,9
50,R1531T,0,0.058823529411764705,0.006077153608202934,0
51,R1531T,1,0.08108108108108109,0.03564132253328959,1
52,R1531T,2,0.225,0.0583094677163495,2
53,R1531T,3,0.05555555555555555,0.0773337334394455,3
54,R1531T,4,0.19444444444444445,0.09549168710197721,4
55,R1531T,5,0.2702702702702703,0.11542270109057426,5
56,R1531T,6,0.16666666666666666,0.14106020828088126,6
57,R1531T,7,0.06060606060606061,0.1694015935063362,7
58,R1531T,8,0.2903225806451613,0.1988864408599006,8
59,R1531T,9,0.18181818181818182,0.34260669350624084,9
60,R1534D,0,0.2,-0.0018875262467190623,0
61,R1534D,1,0.16129032258064516,0.03518575727939606,1
62,R1534D,2,0.0967741935483871,0.0618330625196298,2
63,R1534D,3,0.17647058823529413,0.07722680270671844,3
64,R1534D,4,0.10344827586206896,0.09319976965586345,4
65,R1534D,5,0.12121212121212122,0.11922064982354641,5
66,R1534D,6,0.10714285714285714,0.14144448935985565,6
67,R1534D,7,0.14285714285714285,0.15886354446411133,7
68,R1534D,8,0.18181818181818182,0.1982005350291729,8
69,R1534D,9,0.2916666666666667,0.27686389854976107,9
70,R1547D,0,0.06666666666666667,-0.015442199306562543,0
71,R1547D,1,0.10714285714285714,0.03278932409981886,1
72,R1547D,2,0.17391304347826086,0.054820368997752666,2
73,R1547D,3,0.19230769230769232,0.08153622299432754,3
74,R1547D,4,0.17857142857142858,0.09585732370615005,4
75,R1547D,5,0.125,0.11472935477892558,5
76,R1547D,6,0.21428571428571427,0.1331347847978274,6
77,R1547D,7,0.13333333333333333,0.16532782465219498,7
78,R1547D,8,0.2413793103448276,0.20740087968962534,8
79,R1547D,9,0.22727272727272727,0.3706486105918884,9
80,R1556J,0,0.13513513513513514,-0.003071441245265305,0
81,R1556J,1,0.10256410256410256,0.03189159440807998,1
82,R1556J,2,0.0875,0.06093694908278329,2
83,R1556J,3,0.11827956989247312,0.07627671008760278,3
84,R1556J,4,0.20430107526881722,0.09589699498916927,4
85,R1556J,5,0.18556701030927836,0.1148950420320034,5
86,R1556J,6,0.20833333333333334,0.13935536046822866,6
87,R1556J,7,0.15053763440860216,0.16622963334832871,7
88,R1556J,8,0.15555555555555556,0.2142600076539176,8
89,R1556J,9,0.24,0.3142645185192426,9
90,R1564J,0,0.11290322580645161,0.00026687351055443287,0
91,R1564J,1,0.11965811965811966,0.031109476062868322,1
92,R1564J,2,0.1640625,0.058819833610739024,2
93,R1564J,3,0.17777777777777778,0.07634220675875743,3
94,R1564J,4,0.15126050420168066,0.0949790370133188,4
95,R1564J,5,0.1864406779661017,0.1152495260943066,5
96,R1564J,6,0.15789473684210525,0.13682694319221708,6
97,R1564J,7,0.18110236220472442,0.16474994174812152,7
98,R1564J,8,0.1282051282051282,0.19800480504830678,8
99,R1564J,9,0.29357798165137616,0.3159758453257382,9
100,R1566D,0,0.15492957746478872,-0.002343608362769539,0
101,R1566D,1,0.19736842105263158,0.032946125417947766,1
102,R1566D,2,0.14634146341463414,0.05855943541973829,2
103,R1566D,3,0.14102564102564102,0.07782725109295412,3
104,R1566D,4,0.13513513513513514,0.09569330215454101,4
105,R1566D,5,0.12162162162162163,0.1157175824046135,5
106,R1566D,6,0.1267605633802817,0.13526897629102072,6
107,R1566D,7,0.18840579710144928,0.1658789056998033,7
108,R1566D,8,0.17647058823529413,0.20562345534563065,8
109,R1566D,9,0.27941176470588236,0.3300404556487736,9
110,R1568E,0,0.09090909090909091,-0.003018625604454428,0
111,R1568E,1,0.0975609756097561,0.040106247179210186,1
112,R1568E,2,0.17073170731707318,0.05726126208901405,2
113,R1568E,3,0.15,0.08133783067266147,3
114,R1568E,4,0.13953488372093023,0.09553756440679233,4
115,R1568E,5,0.11904761904761904,0.11508706361055374,5
116,R1568E,6,0.1891891891891892,0.14174098627907888,6
117,R1568E,7,0.16666666666666666,0.16906009827341353,7
118,R1568E,8,0.15555555555555556,0.203600212931633,8
119,R1568E,9,0.28125,0.297046744161182,9
