,lag,prob
727,5,0.041666666666666664
728,6,0.0
729,7,0.0
730,8,0.0
731,-8,0.0
732,-7,0.03663003663003663
733,-6,0.016666666666666666
734,-5,0.0
735,-4,0.05714285714285714
736,-3,0.13026714664645697
737,-2,0.11860038998882927
738,-1,0.17482424982424982
739,0,
740,1,0.3644475163079814
741,2,0.2133318000223643
742,3,0.070203081232493
743,4,0.07621281271129142
744,5,0.0
745,6,0.007246376811594203
746,7,0.0
747,8,0.018518518518518517
748,-8,0.03333333333333333
749,-7,0.0
750,-6,0.05128205128205129
751,-5,0.030303030303030304
752,-4,0.043478260869565216
753,-3,0.07740870240870242
754,-2,0.14962962962962964
755,-1,0.2463768115942029
756,0,
757,1,0.2542141500474834
758,2,0.17842818428184282
759,3,0.03812636165577342
760,4,0.15130568356374807
761,5,0.06349206349206349
762,6,0.0
763,7,0.0
764,8,0.0
765,-8,0.3333333333333333
766,-7,0.0
767,-6,0.06666666666666667
768,-5,0.0
769,-4,0.04
770,-3,0.2
771,-2,0.05555555555555555
772,-1,0.29545454545454547
773,0,
774,1,0.3125
775,2,0.04878048780487805
776,3,0.14285714285714285
777,4,0.05
778,5,0.07692307692307693
779,6,0.0
780,7,0.1111111111111111
781,8,0.0
782,-8,0.027777777777777776
783,-7,0.016666666666666666
784,-6,0.02982456140350877
785,-5,0.011904761904761904
786,-4,0.07107843137254902
787,-3,0.03351351351351352
788,-2,0.19966397849462364
789,-1,0.20932147441775167
790,0,
791,1,0.24325396825396825
792,2,0.19697090792838876
793,3,0.09796390124176813
794,4,0.06459223646723647
795,5,0.02
796,6,0.020833333333333332
797,7,0.07670454545454546
798,8,0.041666666666666664
799,-8,0.0
800,-7,0.05952380952380952
801,-6,0.0625
802,-5,0.038461538461538464
803,-4,0.05405405405405406
804,-3,0.08571428571428572
805,-2,0.09022852639873916
806,-1,0.24240855762594893
807,0,
808,1,0.3621553884711779
809,2,0.1380952380952381
810,3,0.05714285714285714
811,4,0.0
812,5,0.050505050505050504
813,6,0.0
814,7,0.09401709401709402
815,8,0.0
816,-8,0.0
817,-7,0.0
818,-6,0.0
819,-5,0.0
820,-4,0.09090909090909091
821,-3,0.0
822,-2,0.19444444444444445
823,-1,0.3541666666666667
824,0,
825,1,0.34
826,2,0.1
827,3,0.02564102564102564
828,4,0.08695652173913043
829,5,0.0
830,6,0.0
831,7,0.0
832,8,0.07142857142857142
833,-8,0.0
834,-7,0.0
835,-6,0.0
836,-5,0.041666666666666664
837,-4,0.05357142857142857
838,-3,0.11442006269592477
839,-2,0.12343470483005367
840,-1,0.36670480549199086
841,0,
842,1,0.3002923976608187
843,2,0.11437908496732026
844,3,0.09845559845559845
845,4,0.041666666666666664
846,5,0.03333333333333333
847,6,0.0
848,7,0.0
849,8,0.0
850,-8,0.0
851,-7,0.0
852,-6,0.0
853,-5,0.1111111111111111
854,-4,0.0
855,-3,0.0
856,-2,0.21428571428571427
857,-1,0.07692307692307693
858,0,
859,1,0.5882352941176471
860,2,0.07142857142857142
861,3,0.0
862,4,0.0
863,5,0.0
864,6,0.0
865,7,0.0
866,8,0.3333333333333333
867,-8,0.0365079365079365
868,-7,0.025396825396825397
869,-6,0.025
870,-5,0.05333333333333333
871,-4,0.04392473760461137
872,-3,0.1143859649122807
873,-2,0.08754717676544302
874,-1,0.22588690954700316
875,0,
876,1,0.3224898580121704
877,2,0.16849021692674943
878,3,0.08176873763895519
879,4,0.062411764705882354
880,5,0.03722084367245658
881,6,0.06358656823053108
882,7,0.03333333333333333
883,8,0.0
884,-8,0.0
885,-7,0.0
886,-6,0.058823529411764705
887,-5,0.0625
888,-4,0.0
889,-3,0.1111111111111111
890,-2,0.14285714285714285
891,-1,0.3235294117647059
892,0,
893,1,0.175
894,2,0.20689655172413793
895,3,0.11538461538461539
896,4,0.08
897,5,0.0625
898,6,0.0
899,7,0.0
900,8,0.25
