,subject,spos_bins,repeats,session,recalled,adj_rec
236,R1516E,3.0,,5,,
237,R1516E,4.0,,5,,
238,R1516E,5.0,,5,,
239,R1516E,6.0,,5,,
240,R1516E,7.0,,5,,
241,R1516E,8.0,,5,,
242,R1516E,9.0,,5,,
243,R1516E,1.0,,6,,
244,R1516E,2.0,,6,,
245,R1516E,3.0,,6,,
246,R1516E,4.0,,6,,
247,R1516E,5.0,,6,,
248,R1516E,6.0,,6,,
249,R1516E,7.0,,6,,
250,R1516E,8.0,,6,,
251,R1516E,9.0,,6,,
252,R1528E,1.0,1.0,0,0.2333333333333333,0.3196296296296296
253,R1528E,2.0,1.0,0,0.16666666666666666,0.1902407407407407
254,R1528E,3.0,1.0,0,0.0,0.057111111111111106
255,R1528E,4.0,1.0,0,0.0,0.027087962962962953
256,R1528E,5.0,1.0,0,0.27777777777777773,0.22160185185185183
257,R1528E,6.0,1.0,0,0.0,0.11424537037037037
258,R1528E,7.0,1.0,0,0.0,-0.16455555555555557
259,R1528E,8.0,1.0,0,0.08333333333333333,-0.04537268518518518
260,R1528E,9.0,1.0,0,0.875,0.49689087301587304
261,R1528E,1.0,1.0,1,0.0,0.08629629629629627
262,R1528E,2.0,1.0,1,0.0,0.023574074074074067
263,R1528E,3.0,1.0,1,0.0,0.057111111111111106
264,R1528E,4.0,1.0,1,0.125,0.15208796296296295
265,R1528E,5.0,1.0,1,0.0,-0.05617592592592591
266,R1528E,6.0,1.0,1,0.0,0.11424537037037037
267,R1528E,7.0,1.0,1,0.625,0.46044444444444443
268,R1528E,8.0,1.0,1,0.6666666666666666,0.5379606481481481
269,R1528E,9.0,1.0,1,0.8333333333333333,0.4552242063492063
270,R1528E,1.0,,2,,
271,R1528E,2.0,,2,,
272,R1528E,3.0,,2,,
273,R1528E,4.0,,2,,
274,R1528E,5.0,,2,,
275,R1528E,6.0,,2,,
276,R1528E,7.0,,2,,
277,R1528E,8.0,,2,,
278,R1528E,9.0,,2,,
279,R1528E,1.0,,3,,
280,R1528E,2.0,,3,,
281,R1528E,3.0,,3,,
282,R1528E,4.0,,3,,
283,R1528E,5.0,,3,,
284,R1528E,6.0,,3,,
285,R1528E,7.0,,3,,
286,R1528E,8.0,,3,,
287,R1528E,9.0,,3,,
288,R1528E,1.0,,4,,
289,R1528E,2.0,,4,,
290,R1528E,3.0,,4,,
291,R1528E,4.0,,4,,
292,R1528E,5.0,,4,,
293,R1528E,6.0,,4,,
294,R1528E,7.0,,4,,
295,R1528E,8.0,,4,,
296,R1528E,9.0,,4,,
297,R1528E,1.0,,5,,
298,R1528E,2.0,,5,,
299,R1528E,3.0,,5,,
300,R1528E,4.0,,5,,
301,R1528E,5.0,,5,,
302,R1528E,6.0,,5,,
303,R1528E,7.0,,5,,
304,R1528E,8.0,,5,,
305,R1528E,9.0,,5,,
306,R1528E,1.0,,6,,
307,R1528E,2.0,,6,,
308,R1528E,3.0,,6,,
309,R1528E,4.0,,6,,
310,R1528E,5.0,,6,,
311,R1528E,6.0,,6,,
312,R1528E,7.0,,6,,
313,R1528E,8.0,,6,,
314,R1528E,9.0,,6,,
