,subject,repeats,recalled,adj_rec
120,MTK00137,1.0,0.8,0.35997876857749467
121,MTK00137,2.0,0.5666666666666667,0.5463906581740976
122,MTK00137,3.0,0.6,0.7057003575818527
123,MTK00138,1.0,0.3833333333333333,0.35997876857749467
124,MTK00138,2.0,0.7,0.5463906581740976
125,MTK00138,3.0,0.7083333333333333,0.7057003575818527
126,MTK00143,1.0,0.3,0.35997876857749467
127,MTK00143,2.0,0.36666666666666664,0.5463906581740976
128,MTK00143,3.0,0.7416666666666667,0.7057003575818527
129,MTK00147,1.0,0.08333333333333333,0.35997876857749467
130,MTK00147,2.0,0.3333333333333333,0.5463906581740976
131,MTK00147,3.0,0.5333333333333333,0.7057003575818527
132,MTK00148,1.0,0.15,0.35997876857749467
133,MTK00148,2.0,0.36666666666666664,0.5463906581740976
134,MTK00148,3.0,0.675,0.7057003575818527
135,MTK00150,1.0,0.2,0.35997876857749467
136,MTK00150,2.0,0.35,0.5463906581740976
137,MTK00150,3.0,0.625,0.7057003575818527
138,MTK00155,1.0,0.4666666666666666,0.35997876857749467
139,MTK00155,2.0,0.6666666666666666,0.5463906581740976
140,MTK00155,3.0,0.8583333333333334,0.7057003575818527
141,MTK00156,1.0,0.3333333333333333,0.35997876857749467
142,MTK00156,2.0,0.6166666666666667,0.5463906581740976
143,MTK00156,3.0,0.825,0.7057003575818527
144,MTK00158,1.0,0.45,0.35997876857749467
145,MTK00158,2.0,0.8333333333333333,0.5463906581740976
146,MTK00158,3.0,0.8666666666666666,0.7057003575818527
147,MTK00159,1.0,0.11666666666666665,0.35997876857749467
148,MTK00159,2.0,0.41666666666666663,0.5463906581740976
149,MTK00159,3.0,0.6416666666666666,0.7057003575818527
150,MTK00161,1.0,0.3,0.35997876857749467
151,MTK00161,2.0,0.41666666666666663,0.5463906581740976
152,MTK00161,3.0,0.6416666666666667,0.7057003575818527
153,MTK00170,1.0,0.2333333333333333,0.35997876857749467
154,MTK00170,2.0,0.4833333333333333,0.5463906581740976
155,MTK00170,3.0,0.625,0.7057003575818527
156,MTK00171,1.0,0.36666666666666664,0.35997876857749467
157,MTK00171,2.0,0.5,0.5463906581740976
158,MTK00171,3.0,0.7583333333333333,0.7057003575818527
159,MTK00174,1.0,0.11666666666666665,0.35997876857749467
160,MTK00174,2.0,0.26666666666666666,0.5463906581740976
161,MTK00174,3.0,0.39166666666666666,0.7057003575818527
162,MTK00176,1.0,0.3333333333333333,0.35997876857749467
163,MTK00176,2.0,0.6,0.5463906581740976
164,MTK00176,3.0,0.7583333333333333,0.7057003575818527
165,MTK00177,1.0,0.35,0.35997876857749467
166,MTK00177,2.0,0.5666666666666667,0.5463906581740976
167,MTK00177,3.0,0.775,0.7057003575818527
168,MTK00179,1.0,0.36666666666666664,0.35997876857749467
169,MTK00179,2.0,0.6,0.5463906581740976
170,MTK00179,3.0,0.75,0.7057003575818527
171,MTK00180,1.0,0.2833333333333333,0.35997876857749467
172,MTK00180,2.0,0.5666666666666667,0.5463906581740976
173,MTK00180,3.0,0.6833333333333333,0.7057003575818527
174,MTK00181,1.0,0.4333333333333333,0.35997876857749467
175,MTK00181,2.0,0.4833333333333333,0.5463906581740976
176,MTK00181,3.0,0.6083333333333333,0.7057003575818527
177,MTK00182,1.0,0.21666666666666665,0.35997876857749467
178,MTK00182,2.0,0.4,0.5463906581740976
179,MTK00182,3.0,0.6416666666666667,0.7057003575818527
180,MTK00183,1.0,0.05,0.35997876857749467
181,MTK00183,2.0,0.2333333333333333,0.5463906581740976
182,MTK00183,3.0,0.4,0.7057003575818527
183,MTK00184,1.0,0.31666666666666665,0.35997876857749467
184,MTK00184,2.0,0.5333333333333333,0.5463906581740976
185,MTK00184,3.0,0.7416666666666667,0.7057003575818527
186,MTK00185,1.0,0.36666666666666664,0.35997876857749467
187,MTK00185,2.0,0.5,0.5463906581740976
188,MTK00185,3.0,0.7583333333333333,0.7057003575818527
189,MTK00186,1.0,0.16666666666666666,0.35997876857749467
190,MTK00186,2.0,0.4333333333333333,0.5463906581740976
191,MTK00186,3.0,0.5916666666666667,0.7057003575818527
192,MTK00188,1.0,0.35,0.35997876857749467
193,MTK00188,2.0,0.5666666666666667,0.5463906581740976
194,MTK00188,3.0,0.775,0.7057003575818527
195,MTK00189,1.0,0.21666666666666665,0.35997876857749467
196,MTK00189,2.0,0.3833333333333333,0.5463906581740976
197,MTK00189,3.0,0.4833333333333333,0.7057003575818527
198,MTK00190,1.0,0.15,0.35997876857749467
199,MTK00190,2.0,0.5166666666666666,0.5463906581740976
200,MTK00190,3.0,0.8083333333333333,0.7057003575818527
201,MTK00192,1.0,0.5666666666666667,0.35997876857749467
202,MTK00192,2.0,0.65,0.5463906581740976
203,MTK00192,3.0,0.825,0.7057003575818527
204,MTK00193,1.0,0.31666666666666665,0.35997876857749467
205,MTK00193,2.0,0.4833333333333333,0.5463906581740976
206,MTK00193,3.0,0.5333333333333333,0.7057003575818527
207,MTK00194,1.0,0.21666666666666665,0.35997876857749467
208,MTK00194,2.0,0.45,0.5463906581740976
209,MTK00194,3.0,0.6416666666666667,0.7057003575818527
210,MTK00195,1.0,0.8833333333333334,0.35997876857749467
211,MTK00195,2.0,0.7333333333333333,0.5463906581740976
212,MTK00195,3.0,0.8083333333333333,0.7057003575818527
213,MTK00196,1.0,0.4666666666666666,0.35997876857749467
214,MTK00196,2.0,0.4833333333333333,0.5463906581740976
215,MTK00196,3.0,0.65,0.7057003575818527
216,MTK00197,1.0,0.6666666666666666,0.35997876857749467
217,MTK00197,2.0,0.8,0.5463906581740976
218,MTK00197,3.0,0.7416666666666667,0.7057003575818527
219,MTK00200,1.0,0.7666666666666666,0.35997876857749467
220,MTK00200,2.0,0.9666666666666666,0.5463906581740976
221,MTK00200,3.0,0.9666666666666666,0.7057003575818527
222,MTK00201,1.0,0.36666666666666664,0.35997876857749467
223,MTK00201,2.0,0.55,0.5463906581740976
224,MTK00201,3.0,0.5666666666666667,0.7057003575818527
225,MTK00202,1.0,0.11666666666666665,0.35997876857749467
226,MTK00202,2.0,0.26666666666666666,0.5463906581740976
227,MTK00202,3.0,0.39166666666666666,0.7057003575818527
228,MTK00203,1.0,0.3833333333333333,0.35997876857749467
229,MTK00203,2.0,0.5166666666666666,0.5463906581740976
230,MTK00203,3.0,0.85,0.7057003575818527
231,MTK00204,1.0,0.2833333333333333,0.35997876857749467
